iter	Passed	Remaining
0	58	58787
1	59	29538
2	59	19791
3	59	14930
4	60	11992
5	60	10036
6	60	8643
7	61	7593
8	61	6774
9	61	6121
10	62	5593
11	62	5149
12	62	4771
13	63	4446
14	63	4169
15	63	3923
16	64	3708
17	64	3514
18	64	3341
19	64	3184
20	65	3043
21	65	2914
22	65	2796
23	66	2688
24	66	2590
25	66	2498
26	66	2414
27	67	2335
28	67	2262
29	67	2194
30	68	2130
31	68	2069
32	68	2012
33	69	1961
34	69	1911
35	69	1863
36	69	1817
37	70	1775
38	70	1734
39	70	1696
40	70	1659
41	71	1625
42	71	1591
43	71	1560
44	72	1529
45	72	1500
46	72	1471
47	72	1445
48	73	1419
49	73	1395
50	73	1371
51	73	1348
52	74	1326
53	74	1308
54	74	1287
55	75	1268
56	75	1249
57	75	1231
58	76	1213
59	76	1196
60	76	1178
61	76	1162
62	77	1147
63	77	1133
64	77	1118
65	77	1103
66	78	1089
67	78	1073
68	78	1059
69	78	1046
70	79	1033
71	79	1022
72	79	1010
73	79	998
74	80	988
75	80	978
76	80	968
77	81	958
78	81	947
79	81	938
80	81	928
81	82	918
82	82	910
83	82	901
84	82	890
85	83	882
86	83	873
87	83	864
88	83	856
89	83	848
90	84	841
91	84	835
92	84	828
93	85	821
94	85	814
95	85	807
96	86	801
97	86	794
98	86	789
99	86	782
100	87	776
101	87	769
102	87	763
103	88	758
104	88	753
105	88	748
106	89	744
107	89	740
108	90	736
109	90	731
110	90	725
111	90	721
112	91	715
113	91	711
114	91	705
115	91	700
116	92	695
117	92	690
118	92	685
119	92	680
120	93	676
121	93	671
122	93	666
123	93	661
124	93	657
125	94	652
126	94	648
127	94	643
128	94	639
129	94	635
130	95	631
131	95	628
132	95	624
133	96	620
134	96	616
135	96	613
136	96	609
137	96	605
138	97	602
139	97	599
140	97	596
141	98	592
142	98	589
143	98	586
144	98	582
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	564
151	100	561
152	100	558
153	101	555
154	101	552
155	101	550
156	101	547
157	102	544
158	102	541
159	102	539
160	102	536
161	103	533
162	103	531
163	103	528
164	103	526
165	104	523
166	104	521
167	104	518
168	105	516
169	105	514
170	105	511
171	105	509
172	106	507
173	106	504
174	106	502
175	106	500
176	107	497
177	107	495
178	107	493
179	107	491
180	108	488
181	108	486
182	108	484
183	108	482
184	108	480
185	109	478
186	109	476
187	109	474
188	110	472
189	110	470
190	110	468
191	110	466
192	111	464
193	111	462
194	111	460
195	112	459
196	112	458
197	112	456
198	112	454
199	113	452
200	113	450
201	113	449
202	113	447
203	114	445
204	114	444
205	114	442
206	115	440
207	115	439
208	115	437
209	115	435
210	116	433
211	116	432
212	116	430
213	116	429
214	117	427
215	117	425
216	117	424
217	117	422
218	118	421
219	118	419
220	118	418
221	118	416
222	119	415
223	119	413
224	119	412
225	119	410
226	120	409
227	120	407
228	120	406
229	120	404
230	121	403
231	121	401
232	121	400
233	121	398
234	122	397
235	122	395
236	122	394
237	122	393
238	123	391
239	123	390
240	123	389
241	123	388
242	124	387
243	124	385
244	124	384
245	125	383
246	125	382
247	125	380
248	125	379
249	126	378
250	126	376
